index,v0_bs,v0_rs,delta,sigma_bs,sigma_rs,sigma_delta,within_error
1.000000000000000000e+00,1.636040968033204308e+02,1.636040968033204308e+02,0.000000000000000000e+00,1.012490997763720074e-12,1.157152085282869359e-12,2.169643083046589432e-12,1.000000000000000000e+00
2.000000000000000000e+00,2.769229769024969414e+02,2.769229769024969414e+02,0.000000000000000000e+00,1.016250979374548904e-12,1.903624490367000820e-12,2.919875469741549522e-12,1.000000000000000000e+00
3.000000000000000000e+00,4.073321261780280338e+02,4.073321261780280338e+02,0.000000000000000000e+00,1.014782083077845833e-12,1.196440106599086334e-12,2.211222189676932167e-12,1.000000000000000000e+00
4.000000000000000000e+00,5.565482475375972626e+02,5.565482475375972626e+02,0.000000000000000000e+00,1.011519177155254067e-12,1.039288021318217254e-12,2.050807198473471523e-12,1.000000000000000000e+00
5.000000000000000000e+00,7.250655251041284828e+02,7.250655251041284828e+02,0.000000000000000000e+00,1.013147969128309739e-12,1.117864063962651786e-12,2.131012033090961524e-12,1.000000000000000000e+00
6.000000000000000000e+00,9.130829656465630251e+02,9.130829656465631388e+02,-1.136868377216160297e-13,1.014754522805327347e-12,1.667896362445694575e-12,2.682650885251021720e-12,1.000000000000000000e+00
7.000000000000000000e+00,1.120696193108574562e+03,1.120696193108574562e+03,0.000000000000000000e+00,1.012259570610628206e-12,4.025177641654724521e-12,5.037437212265352525e-12,1.000000000000000000e+00
8.000000000000000000e+00,1.347956649035300188e+03,1.347956649035299961e+03,2.273736754432320595e-13,1.013445262129574123e-12,1.785760426406346284e-12,2.799205688535920205e-12,1.000000000000000000e+00
9.000000000000000000e+00,1.594894304525958660e+03,1.594894304525958887e+03,-2.273736754432320595e-13,1.014625046803750141e-12,4.496633897497333780e-12,5.511258944301083719e-12,1.000000000000000000e+00
1.000000000000000000e+01,1.861527699949615680e+03,1.861527699949615226e+03,4.547473508864641190e-13,1.015800326542543167e-12,3.042977108653300741e-12,4.058777435195843908e-12,1.000000000000000000e+00
1.100000000000000000e+01,2.147868856205879638e+03,2.147868856205879638e+03,0.000000000000000000e+00,1.014143403948607746e-12,2.492944810170257951e-12,3.507088214118865899e-12,1.000000000000000000e+00
1.200000000000000000e+01,2.453925868983133569e+03,2.453925868983133569e+03,0.000000000000000000e+00,1.015117528096929888e-12,1.589320319801259437e-12,2.604437847898189527e-12,1.000000000000000000e+00
1.300000000000000000e+01,2.779704364694197011e+03,2.779704364694197011e+03,0.000000000000000000e+00,1.012871802173235037e-12,4.339481812216466720e-12,5.352353614389701353e-12,1.000000000000000000e+00
1.400000000000000000e+01,3.125208358796573975e+03,3.125208358796573521e+03,4.547473508864641190e-13,1.013648330814452525e-12,6.382458920871779088e-12,7.396107251686232017e-12,1.000000000000000000e+00
1.500000000000000000e+01,3.490440782935037078e+03,3.490440782935036623e+03,4.547473508864641190e-13,1.014423816517095827e-12,2.296504703565170701e-12,3.310928520082266528e-12,1.000000000000000000e+00
1.600000000000000000e+01,3.875403820099749282e+03,3.875403820099749737e+03,-4.547473508864641190e-13,1.011398817405208329e-12,1.510744277164824889e-12,2.522143094570033218e-12,1.000000000000000000e+00
1.700000000000000000e+01,4.280099124156068683e+03,4.280099124156067774e+03,9.094947017729282379e-13,1.015972281860618494e-12,7.089643304635689746e-12,8.105615586496307836e-12,1.000000000000000000e+00
1.800000000000000000e+01,4.704527967406361313e+03,4.704527967406361313e+03,0.000000000000000000e+00,1.012559123835374307e-12,2.925113044692648022e-12,3.937672168528021925e-12,1.000000000000000000e+00
1.900000000000000000e+01,5.148691342057603833e+03,5.148691342057604743e+03,-9.094947017729282379e-13,1.017518159675934545e-12,1.070414126609165537e-11,1.172165942576758971e-11,1.000000000000000000e+00
2.000000000000000000e+01,5.612590031413515135e+03,5.612590031413515135e+03,0.000000000000000000e+00,1.016004045052849677e-12,7.914691752360253930e-12,8.930695797413103607e-12,1.000000000000000000e+00
2.100000000000000000e+01,6.096224660731894801e+03,6.096224660731893891e+03,9.094947017729282379e-13,1.014296568092228509e-12,1.133274960721916419e-11,1.234704617531139290e-11,1.000000000000000000e+00
2.200000000000000000e+01,6.599595734148259908e+03,6.599595734148261727e+03,-1.818989403545856476e-12,1.012395919175849659e-12,7.521811539154066698e-12,8.534207458329916357e-12,1.000000000000000000e+00
2.300000000000000000e+01,7.122703661878657840e+03,7.122703661878656931e+03,9.094947017729282379e-13,1.012877824651844586e-12,4.103753684295165321e-12,5.116631508947009907e-12,1.000000000000000000e+00
2.400000000000000000e+01,7.665548780529417854e+03,7.665548780529416035e+03,1.818989403545856476e-12,1.010687636688027775e-12,2.327630808856527889e-11,2.428699572525330565e-11,1.000000000000000000e+00
2.500000000000000000e+01,8.228131368446100169e+03,8.228131368446100169e+03,0.000000000000000000e+00,1.013841102275581013e-12,1.235423816154481624e-11,1.336807926382039725e-11,1.000000000000000000e+00
2.600000000000000000e+01,8.810451657443512886e+03,8.810451657443512886e+03,0.000000000000000000e+00,1.014322510707664302e-12,1.050770115949057800e-11,1.152202367019824271e-11,1.000000000000000000e+00
2.700000000000000000e+01,9.412509841862693065e+03,9.412509841862693065e+03,0.000000000000000000e+00,1.011843028596813935e-12,1.486867152603468740e-11,1.588051455463150295e-11,1.000000000000000000e+00
2.800000000000000000e+01,1.003430608563072383e+04,1.003430608563072383e+04,0.000000000000000000e+00,1.015284940117404955e-12,1.970109814842546764e-11,2.071638308854287320e-11,1.000000000000000000e+00
2.900000000000000000e+01,1.067584052781251376e+04,1.067584052781251557e+04,-1.818989403545856476e-12,1.012612787976270096e-12,2.229410755555573193e-11,2.330672034353200344e-11,1.000000000000000000e+00
3.000000000000000000e+01,1.133711328701251659e+04,1.133711328701251296e+04,3.637978807091712952e-12,1.016246930119695338e-12,1.883676167938067942e-11,1.985300860950037577e-11,1.000000000000000000e+00
3.100000000000000000e+01,1.201812446489146896e+04,1.201812446489147078e+04,-1.818989403545856476e-12,1.013382227387307005e-12,8.464724050839283601e-12,9.478106278226591413e-12,1.000000000000000000e+00
3.200000000000000000e+01,1.271887414899617215e+04,1.271887414899617215e+04,0.000000000000000000e+00,1.017208555006087813e-12,2.767960959407778344e-12,3.785169514413865956e-12,1.000000000000000000e+00
3.300000000000000000e+01,1.343936241505177532e+04,1.343936241505177350e+04,1.818989403545856476e-12,1.017689249279398711e-12,1.624375227224632768e-11,1.726144152152572640e-11,1.000000000000000000e+00
3.400000000000000000e+01,1.417958932883042871e+04,1.417958932883043053e+04,-1.818989403545856476e-12,1.014535898534090040e-12,4.575209940137773773e-12,5.589745838671863812e-12,1.000000000000000000e+00
3.500000000000000000e+01,1.493955494768356039e+04,1.493955494768356220e+04,-1.818989403545856476e-12,1.014920345719189355e-12,1.589320319805259631e-12,2.604240665524448784e-12,1.000000000000000000e+00
3.600000000000000000e+01,1.571925932180539348e+04,1.571925932180539348e+04,0.000000000000000000e+00,1.011478558686429417e-12,1.942912511687215162e-12,2.954391070373644377e-12,1.000000000000000000e+00
3.700000000000000000e+01,1.651870249528033673e+04,1.651870249528033673e+04,0.000000000000000000e+00,1.011766824753851996e-12,3.231255299221112820e-11,3.332431981696498343e-11,1.000000000000000000e+00
3.800000000000000000e+01,1.733788450695552820e+04,1.733788450695552820e+04,0.000000000000000000e+00,1.012055059895680213e-12,1.306142254530470005e-11,1.407347760520038006e-11,1.000000000000000000e+00
3.900000000000000000e+01,1.817680539117121589e+04,1.817680539117121589e+04,0.000000000000000000e+00,1.012343266290061364e-12,3.160536860845133325e-11,3.261771187474139401e-11,1.000000000000000000e+00
4.000000000000000000e+01,1.903546517837481224e+04,1.903546517837481224e+04,0.000000000000000000e+00,1.012631445914852553e-12,2.449423674948791278e-11,2.550686819540276534e-11,1.000000000000000000e+00
4.100000000000000000e+01,1.991386389563938064e+04,1.991386389563937701e+04,3.637978807091712952e-12,1.012919600570172669e-12,5.160297146044201404e-11,5.261589106101218408e-11,1.000000000000000000e+00
4.200000000000000000e+01,2.081200156710323063e+04,2.081200156710323063e+04,0.000000000000000000e+00,1.017610309197955904e-12,4.256672655679198035e-11,4.358433686598993828e-11,1.000000000000000000e+00
4.300000000000000000e+01,2.172987821434402940e+04,2.172987821434402940e+04,0.000000000000000000e+00,1.015745148299212067e-12,1.903320178598175516e-11,2.004894693428096642e-11,1.000000000000000000e+00
4.400000000000000000e+01,2.266749385669836920e+04,2.266749385669837648e+04,-7.275957614183425903e-12,1.013783930447923587e-12,4.264530259942828121e-11,4.365908652987620662e-11,1.000000000000000000e+00
4.500000000000000000e+01,2.362484851153567070e+04,2.362484851153566706e+04,3.637978807091712952e-12,1.016417333690569032e-12,2.850161492415414257e-11,2.951803225784471443e-11,1.000000000000000000e+00
4.600000000000000000e+01,2.460194219449385491e+04,2.460194219449385491e+04,0.000000000000000000e+00,1.014360052132518027e-12,7.116840607790592086e-11,7.218276613003843747e-11,1.000000000000000000e+00
4.700000000000000000e+01,2.559877491968257164e+04,2.559877491968257164e+04,0.000000000000000000e+00,1.014648086995517196e-12,3.054459203280137539e-11,3.155924011979689057e-11,1.000000000000000000e+00
4.800000000000000000e+01,2.661534669985921573e+04,2.661534669985921573e+04,0.000000000000000000e+00,1.014936105879895331e-12,3.887365255268742006e-11,3.988858865856731822e-11,1.000000000000000000e+00
4.900000000000000000e+01,2.765165754658162041e+04,2.765165754658162041e+04,0.000000000000000000e+00,1.015224109695714079e-12,6.794678832965244035e-11,6.896201243934815322e-11,1.000000000000000000e+00
5.000000000000000000e+01,2.870770747034110536e+04,2.870770747034110173e+04,3.637978807091712952e-12,1.015512099285114388e-12,5.949986374580566622e-11,6.051537584509077940e-11,1.000000000000000000e+00
5.100000000000000000e+01,2.978349648067844464e+04,2.978349648067844828e+04,-3.637978807091712952e-12,1.013166729523455296e-12,9.006594433293036420e-11,9.107911106245382394e-11,1.000000000000000000e+00
5.200000000000000000e+01,3.087902458628551540e+04,3.087902458628551904e+04,-3.637978807091712952e-12,1.013406699041602545e-12,9.411261052891725504e-11,9.512601722795886001e-11,1.000000000000000000e+00
5.300000000000000000e+01,3.199429179509445748e+04,3.199429179509445748e+04,0.000000000000000000e+00,1.013646658519321458e-12,1.942608199917990000e-11,2.043972865769922207e-11,1.000000000000000000e+00
5.400000000000000000e+01,3.312929811435595184e+04,3.312929811435595184e+04,0.000000000000000000e+00,1.016663930174750304e-12,8.586212605166716226e-11,8.687878998184191297e-11,1.000000000000000000e+00
5.500000000000000000e+01,3.428404355070843303e+04,3.428404355070843303e+04,0.000000000000000000e+00,1.011301239524331335e-12,3.891294057401175173e-11,3.992424181353608266e-11,1.000000000000000000e+00
5.600000000000000000e+01,3.545852811023912363e+04,3.545852811023912363e+04,0.000000000000000000e+00,1.011493185403570703e-12,7.050355283311462286e-12,8.061848468715032383e-12,1.000000000000000000e+00
5.700000000000000000e+01,3.665275179853807640e+04,3.665275179853806912e+04,7.275957614183425903e-12,1.014606405949619136e-12,3.588776293235499781e-11,3.690236933830461856e-11,1.000000000000000000e+00
5.800000000000000000e+01,3.786671462074615556e+04,3.786671462074615556e+04,0.000000000000000000e+00,1.011877057908581384e-12,2.414368767529822805e-12,3.426245825438403988e-12,1.000000000000000000e+00
5.900000000000000000e+01,3.910041658159771032e+04,3.910041658159771032e+04,0.000000000000000000e+00,1.012068985148262480e-12,4.119164581058434672e-11,4.220371479573260678e-11,1.000000000000000000e+00
6.000000000000000000e+01,4.035385768545856990e+04,4.035385768545856263e+04,7.275957614183425903e-12,1.012260906756521795e-12,4.806704954162239209e-11,4.907931044837891449e-11,1.000000000000000000e+00
6.100000000000000000e+01,4.162703793635994953e+04,4.162703793635994953e+04,0.000000000000000000e+00,1.012452822994334611e-12,3.089818422468738948e-11,3.191063704768172348e-11,1.000000000000000000e+00
6.200000000000000000e+01,4.291995733802878385e+04,4.291995733802878385e+04,0.000000000000000000e+00,1.012644734106781053e-12,2.021184242558827104e-11,2.122448715969505371e-11,1.000000000000000000e+00
6.300000000000000000e+01,4.423261589391490270e+04,4.423261589391489542e+04,7.275957614183425903e-12,1.016045800405797619e-12,2.708724615662630995e-11,2.810329195703210858e-11,1.000000000000000000e+00
6.400000000000000000e+01,4.556501360721539095e+04,4.556501360721539095e+04,0.000000000000000000e+00,1.013028541863468144e-12,8.448704530546392303e-11,8.550007384732739662e-11,1.000000000000000000e+00
6.500000000000000000e+01,4.691715048089652555e+04,4.691715048089652555e+04,0.000000000000000000e+00,1.009915329195957193e-12,8.480134947602564422e-11,8.581126480522159576e-11,1.000000000000000000e+00
6.600000000000000000e+01,4.828902651771347882e+04,4.828902651771347882e+04,0.000000000000000000e+00,1.013412331712083924e-12,1.765812103977414415e-11,1.867153337148622969e-11,1.000000000000000000e+00
6.700000000000000000e+01,4.968064172022808634e+04,4.968064172022808634e+04,0.000000000000000000e+00,1.017005275494782268e-12,8.413345311358189621e-11,8.515045838907668353e-11,1.000000000000000000e+00
6.800000000000000000e+01,5.109199609082496318e+04,5.109199609082496318e+04,0.000000000000000000e+00,1.013796105150042601e-12,4.547404013448801774e-11,4.648783623963805933e-11,1.000000000000000000e+00
6.900000000000000000e+01,5.252308963172596850e+04,5.252308963172595395e+04,1.455191522836685181e-11,1.013987986137910254e-12,6.995047741698343883e-11,7.096446540312134565e-11,1.000000000000000000e+00
7.000000000000000000e+01,5.397392234500336053e+04,5.397392234500336781e+04,-7.275957614183425903e-12,1.014179863512215774e-12,8.071843837641112912e-12,9.086023701153328686e-12,1.000000000000000000e+00
7.100000000000000000e+01,5.544449423259181640e+04,5.544449423259180912e+04,7.275957614183425903e-12,1.014371737417943766e-12,4.476685575072409335e-11,4.578122748814203974e-11,1.000000000000000000e+00
7.200000000000000000e+01,5.693480529629913508e+04,5.693480529629913508e+04,0.000000000000000000e+00,1.014563607992419945e-12,3.616277908159650386e-11,3.717734268958892582e-11,1.000000000000000000e+00
7.300000000000000000e+01,5.844485553781617637e+04,5.844485553781617637e+04,0.000000000000000000e+00,1.014755475365809946e-12,5.227086782288560696e-11,5.328562329825141892e-11,1.000000000000000000e+00
7.400000000000000000e+01,5.997464495872579573e+04,5.997464495872578846e+04,7.275957614183425903e-12,1.011210504745685399e-12,1.974038616974565694e-11,2.075159667449134314e-11,1.000000000000000000e+00
7.500000000000000000e+01,6.152417356051102979e+04,6.152417356051102252e+04,7.275957614183425903e-12,1.015139200996925503e-12,5.816407102091822835e-11,5.917921022191515426e-11,1.000000000000000000e+00
7.600000000000000000e+01,6.309344134456255415e+04,6.309344134456256143e+04,-7.275957614183425903e-12,1.011498294611869395e-12,3.533773063387195340e-11,3.634922892848382219e-11,1.000000000000000000e+00
7.700000000000000000e+01,6.468244831218553736e+04,6.468244831218553736e+04,0.000000000000000000e+00,1.019403644033099900e-12,8.975468328006114665e-12,9.994871972039214970e-12,1.000000000000000000e+00
7.800000000000000000e+01,6.629119446460579638e+04,6.629119446460579638e+04,0.000000000000000000e+00,1.011786076244232546e-12,5.757475070111495587e-11,5.858653677735919327e-11,1.000000000000000000e+00
7.900000000000000000e+01,6.791967980297563190e+04,6.791967980297563190e+04,0.000000000000000000e+00,1.011929964159204846e-12,1.440083976055886984e-10,1.450203275697479133e-10,1.000000000000000000e+00
8.000000000000000000e+01,6.956790432837893604e+04,6.956790432837892149e+04,1.455191522836685181e-11,1.012073850232363990e-12,1.497444487183403946e-10,1.507565225685727531e-10,1.000000000000000000e+00
8.100000000000000000e+01,7.123586804183606000e+04,7.123586804183604545e+04,1.455191522836685181e-11,1.012217734528870041e-12,1.049953924346173297e-10,1.060076101691462029e-10,1.000000000000000000e+00
8.200000000000000000e+01,7.292357094430833240e+04,7.292357094430834695e+04,-1.455191522836685181e-11,1.012361617110842526e-12,8.696219064863334154e-11,8.797455226574417801e-11,1.000000000000000000e+00
8.300000000000000000e+01,7.463101303670197376e+04,7.463101303670195921e+04,1.455191522836685181e-11,1.012505498037537949e-12,1.308469104633159900e-10,1.318594159613535237e-10,1.000000000000000000e+00
8.400000000000000000e+01,7.635819431987180724e+04,7.635819431987182179e+04,-1.455191522836685181e-11,1.012649377365510748e-12,6.763248415908647986e-11,6.864513353645199040e-11,1.000000000000000000e+00
8.500000000000000000e+01,7.810511479462496936e+04,7.810511479462496936e+04,0.000000000000000000e+00,1.012793255148767171e-12,1.376860692906861959e-11,1.478140018421738757e-11,1.000000000000000000e+00
8.600000000000000000e+01,7.987177446172377677e+04,7.987177446172376222e+04,1.455191522836685181e-11,1.017249508585875907e-12,7.678659312670122381e-11,7.780384263528710537e-11,1.000000000000000000e+00
8.700000000000000000e+01,8.165817332188888395e+04,8.165817332188886940e+04,1.455191522836685181e-11,1.017441341714340544e-12,1.249929952866079264e-10,1.260104366283222632e-10,1.000000000000000000e+00
8.800000000000000000e+01,8.346431137580184441e+04,8.346431137580181530e+04,2.910383045673370361e-11,1.013224879734988203e-12,8.664788647807579502e-11,8.766111135781078969e-11,1.000000000000000000e+00
8.900000000000000000e+01,8.529018862410774454e+04,8.529018862410771544e+04,2.910383045673370361e-11,1.015596877139120818e-12,2.810450159705117802e-10,2.820606128476509263e-10,1.000000000000000000e+00
9.000000000000000000e+01,8.713580506741745921e+04,8.713580506741745921e+04,0.000000000000000000e+00,1.015764726394120235e-12,2.262382262288032327e-10,2.272539909551973652e-10,1.000000000000000000e+00
9.100000000000000000e+01,8.900116070630980539e+04,8.900116070630980539e+04,0.000000000000000000e+00,1.015932574171108446e-12,1.754388146617671511e-10,1.764547472359382535e-10,1.000000000000000000e+00
9.200000000000000000e+01,9.088625554133362311e+04,9.088625554133359401e+04,2.910383045673370361e-11,1.013800360442307840e-12,2.806128477359893490e-10,2.816266480964316477e-10,1.000000000000000000e+00
9.300000000000000000e+01,9.279108957300944894e+04,9.279108957300943439e+04,1.455191522836685181e-11,1.016268265474232983e-12,1.295111177384329659e-10,1.305273860039072043e-10,1.000000000000000000e+00
9.400000000000000000e+01,9.471566280183142226e+04,9.471566280183142226e+04,0.000000000000000000e+00,1.014088093503094548e-12,3.376620978106323110e-11,3.478029787456632464e-11,1.000000000000000000e+00
9.500000000000000000e+01,9.665997522826881323e+04,9.665997522826881323e+04,0.000000000000000000e+00,1.014231958339412112e-12,1.143459415088290652e-10,1.153601734671684805e-10,1.000000000000000000e+00
9.600000000000000000e+01,9.862402685276749253e+04,9.862402685276746342e+04,2.910383045673370361e-11,1.014375822091598815e-12,1.054275606691354829e-10,1.064419364912270770e-10,1.000000000000000000e+00
9.700000000000000000e+01,1.006078176757512410e+05,1.006078176757512556e+05,-1.455191522836685181e-11,1.014519684791910461e-12,1.981896221238609047e-11,2.083348189717799992e-11,1.000000000000000000e+00
9.800000000000000000e+01,1.026113476976233360e+05,1.026113476976233214e+05,1.455191522836685181e-11,1.014663546471335223e-12,8.267979632472972223e-11,8.369445987120106391e-11,1.000000000000000000e+00
